USER,PID,CPU,MEM,VSZ,RSS,TTY,STAT,START,TIME,PROGRAM
nitin,1689,0.0,0.0,369360,4276,?,SLl,14:13,0:00,/usr/bin/gnome-keyring-daemon,--daemonize,--login
nitin,1700,0.0,0.1,394716,9968,?,Ssl,14:13,0:00,gnome-session,--session=ubuntu
nitin,1735,0.0,0.0,12568,316,?,Ss,14:13,0:00,/usr/bin/ssh-agent,/usr/bin/dbus-launch,--exit-with-session,gnome-session,--session=ubuntu
nitin,1738,0.0,0.0,26560,540,?,S,14:13,0:00,/usr/bin/dbus-launch,--exit-with-session,gnome-session,--session=ubuntu
nitin,1739,0.2,0.0,25524,2604,?,Ss,14:13,0:04,//bin/dbus-daemon,--fork,--print-pid,5,--print-address,7,--session
nitin,1748,0.0,0.2,828072,18612,?,Sl,14:13,0:00,/usr/lib/gnome-settings-daemon/gnome-settings-daemon
nitin,1757,0.0,0.0,52384,2468,?,S,14:13,0:00,/usr/lib/gvfs/gvfsd
nitin,1759,0.0,0.0,207908,2816,?,Sl,14:13,0:00,/usr/lib/gvfs//gvfs-fuse-daemon,-f,/home/nitin/.gvfs
nitin,1768,1.6,1.0,1069996,84576,?,Sl,14:13,0:26,compiz
nitin,1768,1.6,1.0,1069996,84576,?,Sl,14:13,0:27,compiz
nitin,1768,1.6,1.0,1070024,84576,?,Sl,14:13,0:28,compiz
nitin,1771,0.0,0.0,57724,3496,?,S,14:13,0:00,/usr/lib/x86_64-linux-gnu/gconf/gconfd-2
nitin,1777,0.0,0.0,20184,940,?,S,14:13,0:01,syndaemon,-i,2.0,-K,-R,-t
nitin,1782,0.0,0.0,363028,6356,?,S<l,14:13,0:00,/usr/bin/pulseaudio,--start,--log-target=syslog
nitin,1785,0.0,0.0,95956,2992,?,S,14:13,0:00,/usr/lib/pulseaudio/pulse/gconf-helper
nitin,1787,0.0,0.0,46460,2528,?,S,14:13,0:00,/usr/lib/gvfs/gvfsd-metadata
nitin,1788,0.1,0.4,1450240,37840,?,Sl,14:13,0:03,nautilus,-n
nitin,1788,0.2,0.4,1450240,37848,?,Sl,14:13,0:03,nautilus,-n
nitin,1789,0.0,0.2,559772,16588,?,Sl,14:13,0:00,nm-applet
nitin,1790,0.0,0.1,455132,8684,?,Sl,14:13,0:00,/usr/lib/gnome-settings-daemon/gnome-fallback-mount-helper
nitin,1791,0.0,0.1,307596,8592,?,Sl,14:13,0:00,/usr/lib/policykit-1-gnome/polkit-gnome-authentication-agent-1
nitin,1792,0.0,0.1,426296,12416,?,Sl,14:13,0:00,bluetooth-applet
nitin,1810,0.0,0.0,70440,3796,?,S,14:13,0:00,/usr/lib/gvfs/gvfs-gdu-volume-monitor
nitin,1821,0.0,0.0,142088,2520,?,Sl,14:13,0:00,/usr/lib/gvfs/gvfs-afc-volume-monitor
nitin,1824,0.0,0.0,60340,2500,?,S,14:13,0:00,/usr/lib/gvfs/gvfs-gphoto2-volume-monitor
nitin,1826,0.0,0.0,57128,3304,?,S,14:13,0:00,/usr/lib/gvfs/gvfsd-trash,--spawner,:1.6,/org/gtk/gvfs/exec_spaw/0
nitin,1828,0.0,0.1,392860,9972,?,Sl,14:13,0:00,/usr/lib/bamf/bamfdaemon
nitin,1836,0.0,0.1,353780,14132,?,Sl,14:13,0:00,/usr/lib/notify-osd/notify-osd
nitin,1839,0.0,0.0,4400,612,?,Ss,14:13,0:00,/bin/sh,-c,/usr/bin/compiz-decorator
nitin,1840,0.0,0.1,481796,12100,?,Sl,14:13,0:00,/usr/bin/gtk-window-decorator
nitin,1856,0.0,0.0,52412,2624,?,S,14:13,0:00,/usr/lib/gvfs/gvfsd-burn,--spawner,:1.6,/org/gtk/gvfs/exec_spaw/1
nitin,1858,0.0,0.1,310188,9836,?,Sl,14:13,0:00,/usr/bin/gnome-screensaver,--no-daemon
nitin,1864,0.8,0.3,530812,28800,?,Sl,14:13,0:13,/usr/lib/unity/unity-panel-service
nitin,1864,0.8,0.3,530812,28800,?,Sl,14:13,0:14,/usr/lib/unity/unity-panel-service
nitin,1864,0.8,0.3,530812,29068,?,Sl,14:13,0:14,/usr/lib/unity/unity-panel-service
nitin,1866,0.0,0.1,637852,8844,?,Sl,14:13,0:01,/usr/lib/indicator-appmenu/hud-service
nitin,1880,0.0,0.1,423836,10144,?,Sl,14:13,0:00,/usr/lib/indicator-printers/indicator-printers-service
nitin,1880,0.0,0.1,423836,10156,?,Sl,14:13,0:00,/usr/lib/indicator-printers/indicator-printers-service
nitin,1882,0.0,0.0,529812,6932,?,Sl,14:13,0:00,/usr/lib/indicator-sound/indicator-sound-service
nitin,1884,0.0,0.0,560872,5092,?,Sl,14:13,0:00,/usr/lib/indicator-application/indicator-application-service
nitin,1886,0.0,0.0,646608,6616,?,Sl,14:13,0:00,/usr/lib/indicator-messages/indicator-messages-service
nitin,1896,0.0,0.0,631012,7444,?,Sl,14:13,0:00,/usr/lib/indicator-datetime/indicator-datetime-service
nitin,1899,0.0,0.0,668024,6344,?,Sl,14:13,0:00,/usr/lib/indicator-session/indicator-session-service
nitin,1939,0.0,0.0,47884,2716,?,S,14:13,0:00,/usr/lib/geoclue/geoclue-master
nitin,1944,0.0,0.0,254796,6004,?,Sl,14:13,0:00,/usr/lib/ubuntu-geoip/ubuntu-geoip-provider
nitin,1952,0.0,0.1,331868,9256,?,Sl,14:13,0:00,/usr/lib/gnome-disk-utility/gdu-notification-daemon
